DiscNY High School League Field Permits 2026 (click here for permits folder),,,,,,,,
,,,,,,,,
Park,Field,Size,Date,Start Time,End Time,Permit #,Assigned to,2nd Assignment (XL Only)
Sternberg Park,Soccer/Football 01,L,"Mon, Mar 9",6:00 PM,8:00 PM,894809,,
Riverside Park,107/108th Street Soccer 01 E,XL,"Mon, Mar 9",4:00 PM,6:30 PM,894982,Club A: Hunter Halycons vs Stuyvesant Sticky Fingers,
Thomas Jefferson Park,Soccer 01,L,"Tue, Mar 10",4:00 PM,6:30 PM,894811,,
Riverside Park,107/108th Street Soccer 01 E,XL,"Tue, Mar 10",4:00 PM,6:30 PM,894982,,
James J Walker Park,Soccer 01,S,"Tue, Mar 10",4:00 PM,6:00 PM,894984,,
DeWitt Clinton Park,Soccer 01,L,"Tue, Mar 10",5:30 PM,6:30 PM,897987,,
Randall's Island,Ward's Meadow Soccer 72,L,"Wed, Mar 11",5:00 PM,7:00 PM,894820,,
Riverside Park,107/108th Street Soccer 01 E,XL,"Wed, Mar 11",4:00 PM,6:30 PM,894982,Club A: Beacon Blue Demons vs Bronx Science Lone Wolves,Club B: Brooklyn Latin vs Baruch
James J Walker Park,Soccer 01,S,"Wed, Mar 11",4:00 PM,6:00 PM,894984,,
Sternberg Park,Soccer/Football 01,L,"Thu, Mar 12",6:00 PM,8:00 PM,894809,Club A: Heschel Heat vs Brooklyn Tech Support,
Thomas Jefferson Park,Soccer 01,L,"Thu, Mar 12",4:00 PM,6:30 PM,894811,,
Randall's Island,Ward's Meadow Soccer 73,L,"Thu, Mar 12",5:00 PM,7:00 PM,894819,,
Randall's Island,Ward's Meadow Soccer 74,XL,"Thu, Mar 12",4:30 PM,7:00 PM,894822,,
James J Walker Park,Soccer 01,S,"Thu, Mar 12",4:00 PM,6:00 PM,894984,,
Red Hook,Soccer 02,L,"Thu, Mar 12",6:00 PM,8:00 PM,896557,Club A: Bardbarians vs HSMSE Dragons,
Macombs Dam Park,Soccer 01,L,"Thu, Mar 12",3:00 PM,5:00 PM,898147,,
Van Cortlandt Park,Stadium Soccer 08,L,"Thu, Mar 12",4:00 PM,6:00 PM,898150,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Thu, Mar 12",3:00 PM,5:00 PM,904963,,
Randall's Island,Ward's Meadow Soccer 72,L,"Fri, Mar 13",4:00 PM,6:00 PM,894820,,
Randall's Island,Ward's Meadow Soccer 74,XL,"Fri, Mar 13",4:30 PM,7:00 PM,894822,,
Macombs Dam Park,Soccer 01,L,"Fri, Mar 13",3:00 PM,5:00 PM,898147,,
Van Cortlandt Park,Stadium Soccer 08,L,"Fri, Mar 13",4:00 PM,6:00 PM,898150,,
Red Hook,Soccer 02,L,"Sat, Mar 14",2:00 PM,4:00 PM,896557,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Sun, Mar 15",2:00 PM,4:00 PM,904963,,
Thomas Jefferson Park,Soccer 01,L,"Mon, Mar 16",4:00 PM,6:30 PM,894811,Club B: MCSM vs. CSS,
Thomas Jefferson Park,Soccer 01,L,"Tue, Mar 17",4:00 PM,6:30 PM,894811,,
Van Cortlandt Park,Parade Ground Soccer 02,XL,"Tue, Mar 17",4:00 PM,6:00 PM,898615,,
Red Hook,Soccer 02,L,"Thu, Mar 19",6:00 PM,8:00 PM,896557,Club A: Stuyvesant Sticky vs Bronx Science,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Thu, Mar 19",3:00 PM,5:00 PM,904963,,
Van Cortlandt Park,Parade Ground Soccer 02,XL,"Fri, Mar 20",4:00 PM,6:00 PM,898615,,
Red Hook,Soccer 02,L,"Sat, Mar 21",2:00 PM,4:00 PM,896557,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Sun, Mar 22",2:00 PM,4:00 PM,904963,Club A: Heschel Heat vs Beacon Blue Demons,
Thomas Jefferson Park,Soccer 01,L,"Mon, Mar 23",4:00 PM,6:30 PM,894811,,
Van Cortlandt Park,Parade Ground Soccer 02,XL,"Mon, Mar 23",4:00 PM,6:00 PM,898615,,
Thomas Jefferson Park,Soccer 01,L,"Tue, Mar 24",4:00 PM,6:30 PM,894811,,
Van Cortlandt Park,Parade Ground Soccer 02,XL,"Wed, Mar 25",4:00 PM,6:00 PM,898615,,
Red Hook,Soccer 02,L,"Thu, Mar 26",6:00 PM,8:00 PM,896557,Club A: Bronx Science vs HSMSE,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Thu, Mar 26",3:00 PM,5:00 PM,904963,,
Thomas Jefferson Park,Soccer 01,L,"Fri, Mar 27",4:00 PM,6:30 PM,894811,Club B: Brooklyn Tech B vs. CSS,
Red Hook,Soccer 02,L,"Sat, Mar 28",2:00 PM,4:00 PM,896557,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Sun, Mar 29",2:00 PM,4:00 PM,904963,Club B: Ramaz vs. WESS,
Red Hook,Soccer 02,L,"Mon, Mar 30",4:00 PM,6:00 PM,896557,,
Van Cortlandt Park,Parade Ground Soccer 02,XL,"Mon, Mar 30",4:00 PM,6:00 PM,898615,,
Van Cortlandt Park,Parade Ground Soccer 02,XL,"Tue, Mar 31",4:00 PM,6:00 PM,898615,Club B: Ramaz vs. Fieldston,
Thomas Jefferson Park,Soccer 01,L,"Wed, Apr 1",4:00 PM,6:00 PM,915104,,
Pier 42,Soccer 01,L,"Wed, Apr 1",4:30 PM,6:00 PM,915106,Club B: Baruch vs. Brooklyn Tech B,
Riverside Park South,71st Soccer 04,L,"Wed, Apr 1",6:00 PM,7:30 PM,915224,,
Red Hook,Soccer 5,XL,"Wed, Apr 1",4:00 PM,6:00 PM,915364,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Thu, Apr 2",3:00 PM,5:00 PM,904963,,
Thomas Jefferson Park,Soccer 01,L,"Fri, Apr 3",4:00 PM,6:00 PM,915104,,
Red Hook,Soccer 5,XL,"Fri, Apr 3",4:00 PM,6:00 PM,915364,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Sun, Apr 5",2:00 PM,4:00 PM,904963,,
Astoria Park,Soccer 01,L,"Sun, Apr 5",2:00 PM,4:00 PM,913446,,
Riverside Park South,71st Soccer 04,L,"Sun, Apr 5",10:00 AM,12:00 PM,915224,,
Prospect Park Parade Grounds,Soccer 11,XL,"Sun, Apr 5",12:00 PM,4:00 PM,915283*,,
Randall's Island,Hell Gate Soccer 61,L,"Mon, Apr 6",6:00 PM,7:30 PM,905203,,
Van Cortlandt Park,Parade Ground Soccer C,M,"Mon, Apr 6",3:00 PM,6:00 PM,915119,,
Riverside Park South,71st Soccer 04,L,"Mon, Apr 6",6:00 PM,7:30 PM,915224,,
Washington Park (MS51),Soccer 01A,M,"Tue, Apr 7",6:00 PM,8:00 PM,905666,,
Thomas Jefferson Park,Soccer 01,L,"Wed, Apr 8",4:00 PM,6:00 PM,915104,,
Pier 42,Soccer 01,L,"Wed, Apr 8",4:30 PM,6:00 PM,915106,,
Riverside Park South,71st Soccer 04,L,"Wed, Apr 8",6:00 PM,7:30 PM,915224,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Thu, Apr 9",3:00 PM,5:00 PM,904963,,
Randall's Island,Hell Gate Soccer 60,L,"Thu, Apr 9",5:00 PM,7:00 PM,905204,,
Thomas Jefferson Park,Soccer 01,L,"Fri, Apr 10",4:00 PM,6:00 PM,915104,,
Van Cortlandt Park,Parade Ground Soccer C,M,"Fri, Apr 10",3:00 PM,6:00 PM,915119,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Sun, Apr 12",2:00 PM,4:00 PM,904963,,
Astoria Park,Soccer 01,L,"Sun, Apr 12",2:00 PM,4:00 PM,913446,,
Riverside Park South,71st Soccer 04,L,"Sun, Apr 12",10:00 AM,12:00 PM,915224,,
Van Cortlandt Park,Parade Ground Soccer C,M,"Mon, Apr 13",3:00 PM,6:00 PM,915119,Club B: CSS vs. Fieldston,
Riverside Park South,71st Soccer 04,L,"Mon, Apr 13",6:00 PM,7:30 PM,915224,Club B: Ramaz vs. Brooklyn Tech B,
Prospect Park Parade Grounds,Soccer 8,XL,"Mon, Apr 13",4:00 PM,6:00 PM,915268*,Gx: Bard vs. Stuy,Gx: Tech vs. Beacon
Washington Park (MS51),Soccer 01A,M,"Tue, Apr 14",6:00 PM,8:00 PM,905666,Club A: Bard vs. Magic,
Riverside Park,107/108th Street Soccer 01 E,XL,"Tue, Apr 14",4:00 PM,6:00 PM,915088,Club B: CSS vs. Fieldston,
Van Cortlandt Park,Parade Ground Soccer C,M,"Tue, Apr 14",3:00 PM,6:00 PM,915119,,
Prospect Park Parade Grounds,Soccer 8,XL,"Tue, Apr 14",4:00 PM,6:00 PM,915268*,,
Randall's Island,Ward's Meadow Soccer 73,L,"Wed, Apr 15",6:00 PM,7:00 PM,905213,,
Riverside Park,107/108th Street Soccer 01 E,XL,"Wed, Apr 15",4:00 PM,6:00 PM,915088,Club B: WESS vs. Brooklyn Latin,Club A: HSMSE vs. Hunter
Riverside Park South,71st Soccer 04,L,"Wed, Apr 15",6:00 PM,7:30 PM,915224,,
Prospect Park Parade Grounds,Soccer 8,XL,"Wed, Apr 15",4:00 PM,6:00 PM,915268*,,Club A: Brooklyn Tech vs. Bronx Science
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Thu, Apr 16",3:00 PM,5:00 PM,904963,,
Thomas Jefferson Park,Soccer 01,L,"Fri, Apr 17",4:00 PM,6:00 PM,915104,Club B: Ramaz vs. Fieldston,
Van Cortlandt Park,Parade Ground Soccer C,M,"Fri, Apr 17",3:00 PM,6:00 PM,915119,,
Prospect Park Parade Grounds,Soccer 8,XL,"Fri, Apr 17",4:00 PM,6:00 PM,915268*,Club B: MCSM vs. Baruch,
Prospect Park Parade Grounds,Soccer 7,L,"Fri, Apr 17",4:00 PM,6:00 PM,915720,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Sun, Apr 19",2:00 PM,4:00 PM,904963,Club A: Heschel vs. Bronx,
Astoria Park,Soccer 01,L,"Sun, Apr 19",2:00 PM,4:00 PM,913446,,
Riverside Park South,71st Soccer 04,L,"Sun, Apr 19",10:00 AM,12:00 PM,915224,,
Riverside Park,107/108th Street Soccer 01 E,XL,"Mon, Apr 20",4:00 PM,6:00 PM,915088,Club B: WESS vs. MCSM,
Van Cortlandt Park,Parade Ground Soccer C,M,"Mon, Apr 20",3:00 PM,6:00 PM,915119,,
Prospect Park Parade Grounds,Soccer 8,XL,"Mon, Apr 20",4:00 PM,6:00 PM,915268*,,
Prospect Park Parade Grounds,Soccer 7,L,"Mon, Apr 20",4:00 PM,6:00 PM,915720,,
Washington Park (MS51),Soccer 01A,M,"Tue, Apr 21",6:00 PM,8:00 PM,905666,Club A: Beacon vs. Magic,
McCarren Park,Soccer 01,XL,"Tue, Apr 21",4:00 PM,6:00 PM,913441,Club A: Bard vs. Stuy,
Riverside Park,107/108th Street Soccer 01 E,XL,"Tue, Apr 21",4:00 PM,6:00 PM,915088,,
Van Cortlandt Park,Parade Ground Soccer C,M,"Tue, Apr 21",3:00 PM,6:00 PM,915119,Club B: Brooklyn Tech B vs. Fieldston,
Randall's Island,Ward's Meadow Soccer 71,L,"Wed, Apr 22",6:00 PM,7:00 PM,905209,,
Riverside Park,107/108th Street Soccer 01 E,XL,"Wed, Apr 22",4:00 PM,6:00 PM,915088,Club A: Hunter vs. Bronx Science,Club B: Baruch vs. CSS
Riverside Park South,71st Soccer 04,L,"Wed, Apr 22",6:00 PM,7:30 PM,915224,Club B: Ramaz vs. Brooklyn Latin,
Prospect Park Parade Grounds,Soccer 8,XL,"Wed, Apr 22",4:00 PM,6:00 PM,915268*,Gx: Stuy vs. Beacon,Club A: Stuy vs. Magic
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Thu, Apr 23",3:00 PM,5:00 PM,904963,,
Randall's Island,Hell Gate Soccer 62,L,"Thu, Apr 23",5:00 PM,7:00 PM,905205,Club A: HSMSE vs. Beacon,
Van Cortlandt Park,Parade Ground Soccer C,M,"Fri, Apr 24",3:00 PM,6:00 PM,915119,Club B: WESS vs. Fieldston,
Prospect Park Parade Grounds,Soccer 8,XL,"Fri, Apr 24",4:00 PM,5:30 PM,915268*,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Sun, Apr 26",2:00 PM,4:00 PM,904963,Club A: Heschel vs. Bard,
Riverside Park South,71st Soccer 04,L,"Sun, Apr 26",10:00 AM,12:00 PM,915224,,
Randall's Island,East River Soccer 80,L,"Mon, Apr 27",6:00 PM,8:00 PM,905211,,
Riverside Park,107/108th Street Soccer 01 E,XL,"Mon, Apr 27",4:00 PM,6:00 PM,915088,Club A: Brooklyn Tech vs. Hunter,
Van Cortlandt Park,Parade Ground Soccer C,M,"Mon, Apr 27",3:00 PM,6:00 PM,915119,,
Prospect Park Parade Grounds,Soccer 8,XL,"Mon, Apr 27",4:00 PM,6:00 PM,915268*,Club B: Brooklyn Tech B vs. WESS,Club Gx: Tech vs Stuy
Prospect Park Parade Grounds,Soccer 7,L,"Mon, Apr 27",4:00 PM,6:00 PM,915720,,
Randall's Island,East River Soccer 80,L,"Tue, Apr 28",4:00 PM,6:00 PM,905211,,
Washington Park (MS51),Soccer 01A,M,"Tue, Apr 28",6:00 PM,8:00 PM,905666,Club A: Stuy vs. Beacon,
Riverside Park,107/108th Street Soccer 01 E,XL,"Tue, Apr 28",4:00 PM,6:00 PM,915088,,
Van Cortlandt Park,Parade Ground Soccer C,M,"Tue, Apr 28",3:00 PM,6:00 PM,915119,Club B: Ramaz vs. MCSM,
Riverside Park,107/108th Street Soccer 01 E,XL,"Wed, Apr 29",4:00 PM,6:00 PM,915088,Club B: Fieldston vs. Baruch,
Riverside Park South,71st Soccer 04,L,"Wed, Apr 29",6:00 PM,7:30 PM,915224,Club A: Stuy vs. HSMSE,
Prospect Park Parade Grounds,Soccer 8,XL,"Wed, Apr 29",4:00 PM,6:00 PM,915268*,Club A: Bard vs. Bronx,Club Gx: Tech vs Stuy
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Thu, Apr 30",3:00 PM,5:00 PM,904963,,
Thomas Jefferson Park,Soccer 01,L,"Fri, May 1",4:00 PM,6:00 PM,915104,Club B: Ramaz vs. Baruch,
Van Cortlandt Park,Parade Ground Soccer C,M,"Fri, May 1",3:00 PM,6:00 PM,915119,Club B: Fieldston vs. MCSM,
Prospect Park Parade Grounds,Soccer 8,XL,"Fri, May 1",4:00 PM,6:00 PM,915268*,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Sun, May 3",2:00 PM,4:00 PM,904963,,
Astoria Park,Soccer 01,L,"Sun, May 3",2:00 PM,4:00 PM,913446,Club A: HSMSE vs. Magic,
Riverside Park South,71st Soccer 04,L,"Sun, May 3",10:00 AM,12:00 PM,913453,Club A: Heschel vs. Stuy,
Van Cortlandt Park,Parade Ground Soccer C,M,"Mon, May 4",3:00 PM,6:00 PM,915119,,
Washington Park (MS51),Soccer 01A,M,"Tue, May 5",6:00 PM,8:00 PM,905666,Club A: Hunter vs. Magic,
Van Cortlandt Park,Parade Ground Soccer C,M,"Tue, May 5",3:00 PM,6:00 PM,915119,,
Riverside Park South,71st Soccer 04,L,"Wed, May 6",4:00 PM,7:30 PM,913453,Club B: Ramaz vs. CSS,
Riverside Park,107/108th Street Soccer 01 E,XL,"Wed, May 6",4:00 PM,6:00 PM,915088,Club B: WESS vs. Baruch,
Prospect Park Parade Grounds,Soccer 8,XL,"Wed, May 6",4:00 PM,6:00 PM,915268*,Club B: Brooklyn Tech B vs. MCSM,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Thu, May 7",3:00 PM,5:00 PM,904963,,
Randall's Island,Hell Gate Soccer 62,L,"Thu, May 7",5:00 PM,7:00 PM,905205,,
Riverside Park South,71st Soccer 04,L,"Thu, May 7",6:00 PM,7:30 PM,915224,Club A: Bard vs. Beacon,
Macombs Dam Park,Soccer 01,L,"Thu, May 7",4:00 PM,6:00 PM,905668*,,
McCarren Park,Soccer 01,XL,"Fri, May 8",4:00 PM,6:00 PM,913441,Club B: Brooklyn Latin vs. Fieldston,
Van Cortlandt Park,Parade Ground Soccer C,M,"Fri, May 8",3:00 PM,6:00 PM,915119,,
Riverside Park South,71st Soccer 04,L,"Fri, May 8",6:00 PM,7:30 PM,915224,,
Prospect Park Parade Grounds,Soccer 8,XL,"Fri, May 8",4:00 PM,6:00 PM,915268*,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Sun, May 10",2:00 PM,4:00 PM,904963,Club A: Bronx Science vs. Magic,
Astoria Park,Soccer 01,L,"Sun, May 10",2:00 PM,4:00 PM,913446,,
Riverside Park South,71st Soccer 04,L,"Sun, May 10",10:00 AM,12:00 PM,913453,Club A: Heschel vs. HSMSE,
Randall's Island,East River Soccer 81,L,"Mon, May 11",6:00 PM,8:00 PM,905210,,
Randall's Island,Ward's Meadow Soccer 72,L,"Mon, May 11",6:00 PM,7:30 PM,905212,,
Van Cortlandt Park,Parade Ground Soccer C,M,"Mon, May 11",3:00 PM,6:00 PM,915119,,
Prospect Park Parade Grounds,Soccer 8,XL,"Mon, May 11",4:00 PM,6:00 PM,915268*,,
Prospect Park Parade Grounds,Soccer 7,L,"Mon, May 11",4:00 PM,6:00 PM,915720,,
Randall's Island,Ward's Meadow Soccer 71,L,"Tue, May 12",4:30 PM,6:30 PM,905209,,
Washington Park (MS51),Soccer 01A,M,"Tue, May 12",6:00 PM,8:00 PM,905666,,
Van Cortlandt Park,Parade Ground Soccer C,M,"Tue, May 12",3:00 PM,6:00 PM,915119,,
Macombs Dam Park,Soccer 01,L,"Tue, May 12",4:00 PM,6:00 PM,905668*,,
Randall's Island,Ward's Meadow Soccer 73,L,"Wed, May 13",6:00 PM,7:00 PM,905213,,
Riverside Park South,71st Soccer 04,L,"Wed, May 13",6:00 PM,7:30 PM,913453,,
Riverside Park,107/108th Street Soccer 01 E,XL,"Wed, May 13",4:00 PM,6:00 PM,915088,,
Prospect Park Parade Grounds,Soccer 8,XL,"Wed, May 13",4:00 PM,6:00 PM,915268*,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Thu, May 14",3:00 PM,5:00 PM,904963,,
Riverside Park,107/108th Street Soccer 01 E,XL,"Thu, May 14",4:00 PM,6:00 PM,915088,,
Macombs Dam Park,Soccer 01,L,"Thu, May 14",4:00 PM,6:00 PM,905668*,,
Randall's Island,East River Soccer 81,L,"Fri, May 15",4:00 PM,6:00 PM,905210,,
Riverside Park,107/108th Street Soccer 01 E,XL,"Fri, May 15",4:00 PM,6:00 PM,915088,,
Van Cortlandt Park,Parade Ground Soccer C,M,"Fri, May 15",3:00 PM,6:00 PM,915119,,
Prospect Park Parade Grounds,Soccer 8,XL,"Fri, May 15",4:00 PM,6:00 PM,915268*,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Sun, May 17",2:00 PM,4:00 PM,904963,,
Riverside Park South,71st Soccer 04,L,"Sun, May 17",10:00 AM,12:00 PM,913453,,
Randall's Island,East River Soccer 80,L,"Mon, May 18",4:00 PM,6:00 PM,905211,,
Randall's Island,Ward's Meadow Soccer 74,XL,"Tue, May 19",4:00 PM,7:00 PM,905208,,
Washington Park (MS51),Soccer 01A,M,"Tue, May 19",6:00 PM,8:00 PM,905666,,
Macombs Dam Park,Soccer 01,L,"Tue, May 19",4:00 PM,6:00 PM,905668*,,
Randall's Island,East River Soccer 81,L,"Wed, May 20",6:00 PM,8:00 PM,905210,,
Riverside Park South,71st Soccer 04,L,"Wed, May 20",6:00 PM,8:00 PM,913453,,
Riverside Park,107/108th Street Soccer 01 E,XL,"Wed, May 20",4:00 PM,6:00 PM,915088,,
Thomas Jefferson Park,Soccer 01,L,"Wed, May 20",4:00 PM,6:00 PM,915104,,
Red Hook,Soccer 5,XL,"Wed, May 20",4:00 PM,6:00 PM,915364,,
Prospect Park Parade Grounds,Soccer 8,XL,"Wed, May 20",4:00 PM,6:00 PM,915268*,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Thu, May 21",3:00 PM,5:00 PM,904963,,
Randall's Island,Wards Meadow Soccer 75,XL,"Thu, May 21",4:30 PM,6:00 PM,905207,,
Macombs Dam Park,Soccer 01,L,"Thu, May 21",4:00 PM,6:00 PM,905668*,,
Brooklyn Bridge Park,Field 1 (Close to Entrance),M,"Sun, May 24",2:00 PM,4:00 PM,904963,,
