Permit #,Day of Week,Date,Start Time,End Time,Field,Field Number,Field Size,User 1,User 2
909469,Thursday,04/02/2026,4:00 PM,6:00 PM,Parade Ground: Soccer,8,XL-Two Fields,,
911385,Saturday,04/11/2026,3:00 PM,5:00 PM,Parade Ground: Football/Soccer,9,Large (1 Field),,
931344,Monday,04/13/2026,4:00 PM,6:00 PM,Bush Terminal Park: Soccer,2,Large (1 Field),,
931344,Wednesday,04/15/2026,4:00 PM,6:00 PM,Bush Terminal Park: Soccer,2,Large (1 Field),,
909469,Thursday,04/16/2026,4:00 PM,6:00 PM,Parade Ground: Soccer,8,XL-Two Fields,A team v BxSci,B team
911385,Saturday,04/18/2026,3:00 PM,5:00 PM,Parade Ground: Football/Soccer,9,Large (1 Field),,
931344,Tuesday,04/21/2026,4:00 PM,6:00 PM,Bush Terminal Park: Soccer,2,Large (1 Field),A team if no PPPG,
933125,Tuesday,04/21/2026,4:00 PM,6:00 PM,Parade Ground: Football/Soccer Field,9,Large (1 Field),,
909469,Thursday,04/23/2026,4:00 PM,6:00 PM,Parade Ground: Soccer,8,XL-Two Fields,A Team v Heschel,Disco v. Beacon
911385,Saturday,04/25/2026,3:00 PM,5:00 PM,Parade Ground: Football/Soccer,9,Large (1 Field),Hold:  Disco Tech v. Bard,
931344,Monday,04/27/2026,4:00 PM,6:00 PM,Bush Terminal Park: Soccer,2,Large (1 Field),,
931344,Tuesday,04/28/2026,4:00 PM,6:00 PM,Bush Terminal Park: Soccer,2,Large (1 Field),,
933125,Tuesday,04/28/2026,4:00 PM,6:00 PM,Parade Ground: Football/Soccer Field,9,Large (1 Field),,
909469,Thursday,04/30/2026,4:00 PM,6:00 PM,Parade Ground: Soccer,8,XL-Two Fields,,
911385,Saturday,05/02/2026,3:00 PM,5:00 PM,Parade Ground: Football/Soccer,9,Large (1 Field),Disco v. Stuy,
931344,Tuesday,05/05/2026,4:00 PM,6:00 PM,Bush Terminal Park: Soccer,2,Large (1 Field),,
933125,Tuesday,05/05/2026,4:00 PM,6:00 PM,Parade Ground: Football/Soccer Field,9,Large (1 Field),,
909469,Thursday,05/07/2026,4:00 PM,6:00 PM,Parade Ground: Soccer,8,XL-Two Fields,,
911385,Saturday,05/09/2026,3:00 PM,5:00 PM,Parade Ground: Football/Soccer,9,Large (1 Field),,
931344,Tuesday,05/12/2026,4:00 PM,6:00 PM,Bush Terminal Park: Soccer,2,Large (1 Field),,
933125,Tuesday,05/12/2026,4:00 PM,6:00 PM,Parade Ground: Football/Soccer Field,9,Large (1 Field),,
909469,Thursday,05/14/2026,4:00 PM,6:00 PM,Parade Ground: Soccer,8,XL-Two Fields,,
911385,Saturday,05/16/2026,3:00 PM,5:00 PM,Parade Ground: Football/Soccer,9,Large (1 Field),,
933125,Tuesday,05/19/2026,4:00 PM,6:00 PM,Parade Ground: Football/Soccer Field,9,Large (1 Field),,
909469,Thursday,05/21/2026,4:00 PM,6:00 PM,Parade Ground: Soccer,8,XL-Two Fields,,
933125,Tuesday,05/26/2026,4:00 PM,6:00 PM,Parade Ground: Football/Soccer Field,9,Large (1 Field),,
909469,Thursday,05/28/2026,4:00 PM,6:00 PM,Parade Ground: Soccer,8,XL-Two Fields,,
911385,Saturday,05/30/2026,3:00 PM,5:00 PM,Parade Ground: Football/Soccer,9,Large (1 Field),,
